55 sec | A frightened woman swimming through a dark flooded subway station, gasping for air.
40 sec | A young boy running across a cracking glass roof of a skyscraper during a violent hurricane.
45 sec | A father frantically digging through heavy rubble in the rain to find his lost family.
50 sec | A blind man navigating a chaotic, collapsing city street using only his white cane in the fog.
35 sec | A young girl jumping between floating pieces of a destroyed wooden pier in a roaring ocean.
45 sec | A brave hiker running from a massive avalanche, leaping over deep dark snowy cracks.
55 sec | A terrified boy hiding under a sturdy metal desk while the school building shakes violently.
40 sec | A mother shielding her baby with her own body while massive hailstones smash the glass around them.
50 sec | A young man sprinting down a crumbling rocky canyon path to outrun a flash flood.
35 sec | A brave girl throwing a rope across a roaring muddy river to save her stranded friend.
45 sec | A tired old woman dragging a heavy suitcase through a thick, blinding desert sandstorm.
40 sec | A teenage boy swinging from a broken power cable to escape a collapsing balcony in the rain.
50 sec | A heroic nurse carrying medical supplies through a completely flooded, dark hospital corridor.
35 sec | A young girl running through a dense, foggy forest, looking back at terrifying pursuing shadows.
45 sec | A father running with his child on his shoulders as the street behind them collapses into a sinkhole.
55 sec | A brave boy clinging to a streetlamp pole while a massive tsunami wave crashes into the city.
40 sec | A terrified teenager dodging falling statues and debris inside a crumbling ancient museum.
50 sec | A young woman driving a small boat through a violently stormy sea to rescue a stranded sailor.
35 sec | A boy slipping on a wet muddy cliff, barely holding on to a weak tree branch with one hand.
45 sec | A heroic man breaking a stuck glass window underwater to escape a sinking car in the river.
50 sec | A young girl running across the roof of a moving, runaway train during a heavy thunderstorm.
40 sec | A mother desperately trying to open a jammed metal door while floodwaters rise to her waist.
45 sec | A brave child walking through a ruined, dusty city wearing a gas mask, looking for safe shelter.
55 sec | A young man leaping across a giant crack in the earth during a massive terrifying earthquake.
35 sec | A girl holding onto a floating piece of a house roof while violent hurricane winds howl.
45 sec | A tired father dragging a makeshift wooden raft through the deep mud to save his family.
50 sec | A teenage boy running through an empty, collapsing stadium, dodging falling metal beams.
40 sec | A brave woman climbing up a slippery, rusted fire escape ladder in the pouring rain.
45 sec | A young boy finding a lost flashlight in the dark ruins and turning it on to find his way.
35 sec | A mother holding her child's hand tightly while walking through a massive, blinding white blizzard.
50 sec | A heroic teenager diving into a dark stormy river to pull out a drowning stray dog.
40 sec | A terrified girl running barefoot through a dark, foggy graveyard, escaping a pack of wild shadows.
45 sec | A young man struggling to hold a heavy wooden door shut against a violent tornado wind.
55 sec | A brave boy crawling through a narrow, dark air vent in a collapsed building to find a way out.
35 sec | A woman running down a crumbling spiral staircase as the tower shakes violently from a quake.
45 sec | A father throwing a life jacket into a raging dark sea to save someone falling from a boat.
50 sec | A young girl sliding across a frozen lake, hearing the ice crack loudly beneath her boots.
40 sec | A brave hiker hanging from the edge of a steep rocky cliff, pulling himself up with bleeding hands.
45 sec | A teenager sprinting through a dark, abandoned tunnel while a massive wall of water rushes behind him.
35 sec | A mother carrying a heavy backpack running towards a rescue helicopter in a massive dust storm.
50 sec | A young man dodging falling trees in a heavy jungle monsoon, trying to reach high ground.
40 sec | A brave girl using a broken wooden plank to paddle through a completely flooded town square.
45 sec | A terrified boy hiding in a dark closet while shadowy figures break down the house door.
55 sec | A heroic father pushing a stuck car out of the thick mud while heavy rain pours down.
35 sec | A young woman running across an old, swaying rope bridge over a deep, dark canyon.
45 sec | A boy desperately signaling with a bright red flag to a faraway ship in the stormy ocean.
50 sec | A mother wrapping her jacket around her shivering child in the middle of a freezing snowstorm.
40 sec | A brave man breaking through a collapsed concrete wall using only a heavy iron pipe.
45 sec | A teenager running across the top of sinking cargo containers in a chaotic flooded port.
35 sec | A young girl looking up at the sky, crying emotionally as the rain washes over her face.
50 sec | A father building a barricade of furniture to stop the rising dark water from entering the room.
40 sec | A brave young boy leading a group of scared survivors through a dark, dusty ruined street.
45 sec | A woman dodging falling debris while sprinting out of a collapsing underground parking garage.
55 sec | A young man standing on a high cliff, looking out at the completely ruined, flooded city below.
